order_id,total_weight_kg,zone_x,zone_courier,expected_charge,billing_amount_rs,amount_diff,charge_category
2001806210,0.22,b,b,33.0,174.5,-141.5,Overcharged
2001806226,0.48,d,d,45.4,90.2,-44.800000000000004,Overcharged
2001806229,0.5,d,d,45.4,90.2,-44.800000000000004,Overcharged
2001806232,1.302,d,d,45.4,135.0,-89.6,Overcharged
2001806233,0.245,b,b,33.0,61.3,-28.299999999999997,Overcharged
2001806251,0.245,d,d,45.4,135.0,-89.6,Overcharged
2001806273,0.615,d,d,45.4,90.2,-44.800000000000004,Overcharged
2001806304,0.5,b,d,33.0,90.2,-57.2,Overcharged
2001806338,0.5,d,d,45.4,90.2,-44.800000000000004,Overcharged
2001806408,2.265,d,d,90.2,224.6,-134.39999999999998,Overcharged
2001806446,0.5,d,d,45.4,90.2,-44.800000000000004,Overcharged
2001806458,0.7,b,b,33.0,61.3,-28.299999999999997,Overcharged
2001806471,1.621,b,d,61.3,179.8,-118.50000000000001,Overcharged
2001806533,0.5,d,d,45.4,90.2,-44.800000000000004,Overcharged
2001806547,0.127,b,b,33.0,61.3,-28.299999999999997,Overcharged
2001806567,0.952,d,d,45.4,135.0,-89.6,Overcharged
2001806575,0.5,b,b,33.0,61.3,-28.299999999999997,Overcharged
2001806616,0.963,b,b,33.0,89.6,-56.599999999999994,Overcharged
2001806652,0.5,d,d,45.4,90.2,-44.800000000000004,Overcharged
2001806686,0.24,d,d,45.4,45.4,0.0,Correctly Charged
2001806726,0.5,d,d,45.4,90.2,-44.800000000000004,Overcharged
2001806733,0.967,d,d,45.4,135.0,-89.6,Overcharged
2001806735,0.5,d,d,45.4,90.2,-44.800000000000004,Overcharged
2001806768,0.84,b,d,33.0,135.0,-102.0,Overcharged
2001806776,0.611,b,b,33.0,174.5,-141.5,Overcharged
2001806801,0.361,b,b,33.0,89.6,-56.599999999999994,Overcharged
2001806823,0.127,b,d,33.0,90.2,-57.2,Overcharged
2001806828,0.5,b,d,33.0,90.2,-57.2,Overcharged
2001806885,0.42,b,b,33.0,61.3,-28.299999999999997,Overcharged
2001806968,0.5,b,d,33.0,90.2,-57.2,Overcharged
2001807004,0.5,d,d,45.4,90.2,-44.800000000000004,Overcharged
2001807012,0.24,d,d,45.4,45.4,0.0,Correctly Charged
2001807036,1.459,d,d,45.4,179.8,-134.4,Overcharged
2001807058,1.168,b,b,61.3,89.6,-28.299999999999997,Overcharged
2001807084,0.5,d,d,45.4,90.2,-44.800000000000004,Overcharged
2001807186,0.5,d,d,45.4,45.4,0.0,Correctly Charged
2001807241,0.607,b,d,33.0,90.2,-57.2,Overcharged
2001807290,0.5,d,d,45.4,45.4,0.0,Correctly Charged
2001807328,0.49,b,d,33.0,224.6,-191.6,Overcharged
2001807329,0.5,b,d,33.0,90.2,-57.2,Overcharged
2001807362,2.016,d,d,90.2,179.8,-89.60000000000001,Overcharged
2001807415,1.048,b,b,61.3,61.3,0.0,Correctly Charged
2001807613,0.83,b,d,33.0,135.0,-102.0,Overcharged
2001807785,0.5,b,d,33.0,90.2,-57.2,Overcharged
2001807814,0.607,b,b,33.0,61.3,-28.299999999999997,Overcharged
2001807852,0.5,b,d,33.0,90.2,-57.2,Overcharged
2001807930,0.24,d,d,45.4,45.4,0.0,Correctly Charged
2001807931,0.607,d,d,45.4,90.2,-44.800000000000004,Overcharged
2001807956,1.08,b,b,61.3,89.6,-28.299999999999997,Overcharged
